"Opponent_Manager_Team","Year","Manager_Team","Week","Outcome","Matchup.1","Score","Opponent_Score","Win","Total_Score","Week_Num","Season","Manager","Opponent_Manager"
"A bunch of Jerry's",2018,"Cousin's Familia","12","Loss",78.38,78.38,95.92,0,174.3,12,"Regular Season","Mike","Tony"
"A bunch of Jerry's",2018,"Ridley Me That","13","Win",120.82,120.82,79.44,1,200.26,13,"Regular Season","Spencer","Tony"
"A bunch of Jerry's",2018,"Admiral Ackbar's Ass","9","Win",93.18,93.18,87.36,1,180.54,9,"Regular Season","Greco","Tony"
"A bunch of Jerry's",2018,"Cousin's Familia","1","Loss",111.66,111.66,136.38,0,248.04,1,"Regular Season","Mike","Tony"
"A bunch of Jerry's",2018,"Admiral Ackbar's Ass","Consolation Qtr","Win",86.32,86.32,81.02,1,167.34,14,"Post Season","Greco","Tony"
"A bunch of Jerry's",2018,"Show Me Your TD's","3","Win",100,100,73.52,1,173.52,3,"Regular Season","Jon","Tony"
"A bunch of Jerry's",2018,"SUCK MY DITKA!!","5","Loss",103.82,103.82,135.84,0,239.66,5,"Regular Season","Soda","Tony"
"A bunch of Jerry's",2018,"Gronkey Kong","8","Loss",70.98,70.98,113.86,0,184.84,8,"Regular Season","Matt","Tony"
"A bunch of Jerry's",2018,"Ridley Me That","2","Loss",88.16,88.16,111.86,0,200.02,2,"Regular Season","Spencer","Tony"
"A bunch of Jerry's",2018,"Suh Girls One Kupp","6","Win",151.66,151.66,114.5,1,266.16,6,"Regular Season","Nic","Tony"
"A bunch of Jerry's",2018,"Cousin's Familia","Consolation 11th","Loss",70.74,70.74,95.66,0,166.4,15,"Post Season","Mike","Tony"
"A bunch of Jerry's",2018,"MR. T's Cereal","10","Win",110.62,110.62,96.66,1,207.28,10,"Regular Season","Joe","Tony"
"A bunch of Jerry's",2018,"Thunder Horse","7","Win",133.72,133.72,107.18,1,240.9,7,"Regular Season","Colin","Tony"
"A bunch of Jerry's",2018,"Steelers SIXcess","4","Win",133.96,133.96,89.76,1,223.72,4,"Regular Season","Toney","Tony"
"A bunch of Jerry's",2018,"Daniel's Stormies","11","Win",74.84,74.84,68.02,1,142.86,11,"Regular Season","Dan","Tony"
"Admiral Ackbar's Ass",2014,"Punts with a C","2","Loss",112.16,112.16,123.38,0,235.54,2,"Regular Season","Jon","Greco"
"Admiral Ackbar's Ass",2014,"SUCK MY DITKA","6","Loss",93.54,93.54,103.1,0,196.64,6,"Regular Season","Soda","Greco"
"Admiral Ackbar's Ass",2014,"The Taint Ticklers","9","Win",140.32,140.32,84.86,1,225.18,9,"Regular Season","Matt","Greco"
