PickOfRound,Player,Manager_Team,Year
1,Saquon Barkley(NYG - RB),SaquonDeezNuts,2019
2,Alvin Kamara(NO - RB),Hagar Billies,2019
3,Christian McCaffrey(Car - RB),Two Chips,2019
4,Davante Adams(GB - WR),TAEkin it 2 ...,2019
5,Nick Chubb(Cle - RB),Dinero Pineiro,2019
6,DeAndre Hopkins(Hou - WR),The Legion O...,2019
7,David Johnson(Ari - RB),Veggie Thunb...,2019
8,James Conner(Pit - RB),Steelers SIX...,2019
9,Ezekiel Elliott(Dal - RB),Thunder Horse,2019
10,Julio Jones(Atl - WR),Show Me Your...,2019
11,Le'Veon Bell(NYJ - RB),Admiral Ackb...,2019
12,Dalvin Cook(Min - RB),Da Bear Nece...,2019
1,Michael Thomas(NO - WR),Da Bear Nece...,2019
2,Travis Kelce(KC - TE),Admiral Ackb...,2019
3,JuJu Smith-Schuster(Pit - WR),Show Me Your...,2019
4,Tyreek Hill(KC - WR),Thunder Horse,2019
5,Odell Beckham Jr.(Cle - WR),Steelers SIX...,2019
6,Joe Mixon(Cin - RB),Veggie Thunb...,2019
7,Patrick Mahomes(KC - QB),The Legion O...,2019
8,Mike Evans(TB - WR),Dinero Pineiro,2019
9,Damien Williams(KC - RB),TAEkin it 2 ...,2019
10,David Montgomery(Chi - RB),Two Chips,2019
11,Kerryon Johnson(Det - RB),Hagar Billies,2019
12,Keenan Allen(LAC - WR),SaquonDeezNuts,2019
1,Devonta Freeman(Atl - RB),SaquonDeezNuts,2019
2,George Kittle(SF - TE),Hagar Billies,2019
3,Antonio Brown(NE - WR),Two Chips,2019
4,Adam Thielen(Min - WR),TAEkin it 2 ...,2019
5,Todd Gurley II(LAR - RB),Dinero Pineiro,2019
6,Aaron Jones(GB - RB),The Legion O...,2019
7,Amari Cooper(Dal - WR),Veggie Thunb...,2019
8,Leonard Fournette(Jax - RB),Steelers SIX...,2019
9,Stefon Diggs(Min - WR),Thunder Horse,2019
10,Zach Ertz(Phi - TE),Show Me Your...,2019
11,Marlon Mack(Ind - RB),Admiral Ackb...,2019
12,Chris Godwin(TB - WR),Da Bear Nece...,2019
1,Robert Woods(LAR - WR),Da Bear Nece...,2019
2,Brandin Cooks(LAR - WR),Admiral Ackb...,2019
3,Derrick Henry(Ten - RB),Show Me Your...,2019
4,Mark Ingram II(Bal - RB),Thunder Horse,2019
5,Tyler Boyd(Cin - WR),Steelers SIX...,2019
6,Mike Williams(LAC - WR),Veggie Thunb...,2019
