Week,Opponent_Manager_Team,Outcome,Matchup,Matchup,Manager_Team,Year
1,Steelers SIXcess,Win,135.20 - 103.32,135.2,Admiral Ackbar's Ass,2019
2,Show Me Your TD's,Win,122.10 - 89.32,122.1,Admiral Ackbar's Ass,2019
3,Hagar Billies,Loss,103.24 - 118.22,103.24,Admiral Ackbar's Ass,2019
4,The Legion Of Zoom,Win,78.20 - 60.50,78.2,Admiral Ackbar's Ass,2019
5,Two Chips,Win,112.32 - 94.24,112.32,Admiral Ackbar's Ass,2019
6,Thunder Horse,Loss,101.16 - 141.00,101.16,Admiral Ackbar's Ass,2019
7,Dinero Pineiro,Win,83.16 - 69.26,83.16,Admiral Ackbar's Ass,2019
8,TAEkin it 2 da HOUSE,Loss,111.16 - 111.50,111.16,Admiral Ackbar's Ass,2019
9,Veggie Thunbergers,Loss,84.80 - 87.20,84.8,Admiral Ackbar's Ass,2019
10,Dinero Pineiro,Win,114.66 - 74.48,114.66,Admiral Ackbar's Ass,2019
11,SaquonDeezNuts,Win,102.34 - 74.26,102.34,Admiral Ackbar's Ass,2019
12,Da Bear Necessities,Loss,82.70 - 92.36,82.7,Admiral Ackbar's Ass,2019
13,Steelers SIXcess,Win,93.64 - 77.38,93.64,Admiral Ackbar's Ass,2019
1,The Legion Of Zoom,Loss,82.92 - 114.70,82.92,Dinero Pineiro,2019
2,Thunder Horse,Win,84.90 - 84.10,84.9,Dinero Pineiro,2019
3,Show Me Your TD's,Win,127.76 - 104.50,127.76,Dinero Pineiro,2019
4,TAEkin it 2 da HOUSE,Win,127.88 - 108.78,127.88,Dinero Pineiro,2019
5,Veggie Thunbergers,Loss,94.90 - 121.18,94.9,Dinero Pineiro,2019
6,Hagar Billies,Win,118.64 - 109.00,118.64,Dinero Pineiro,2019
7,Admiral Ackbar's Ass,Loss,69.26 - 83.16,69.26,Dinero Pineiro,2019
8,SaquonDeezNuts,Win,116.82 - 101.36,116.82,Dinero Pineiro,2019
9,Show Me Your TD's,Loss,56.46 - 140.70,56.46,Dinero Pineiro,2019
10,Admiral Ackbar's Ass,Loss,74.48 - 114.66,74.48,Dinero Pineiro,2019
11,Da Bear Necessities,Loss,91.00 - 110.62,91,Dinero Pineiro,2019
12,Steelers SIXcess,Loss,78.34 - 110.56,78.34,Dinero Pineiro,2019
13,Two Chips,Loss,83.34 - 94.40,83.34,Dinero Pineiro,2019
1,TAEkin it 2 da HOUSE,Win,87.26 - 73.62,87.26,Veggie Thunbergers,2019
2,Hagar Billies,Win,87.62 - 77.64,87.62,Veggie Thunbergers,2019
3,The Legion Of Zoom,Loss,106.22 - 106.76,106.22,Veggie Thunbergers,2019
4,SaquonDeezNuts,Loss,61.12 - 61.70,61.12,Veggie Thunbergers,2019
5,Dinero Pineiro,Win,121.18 - 94.90,121.18,Veggie Thunbergers,2019
6,Show Me Your TD's,Win,59.82 - 54.80,59.82,Veggie Thunbergers,2019
7,Two Chips,Win,85.78 - 77.02,85.78,Veggie Thunbergers,2019
8,Da Bear Necessities,Loss,97.06 - 111.98,97.06,Veggie Thunbergers,2019
9,Admiral Ackbar's Ass,Win,87.20 - 84.80,87.2,Veggie Thunbergers,2019
10,Two Chips,Loss,77.52 - 158.32,77.52,Veggie Thunbergers,2019
11,Steelers SIXcess,Win,117.04 - 89.74,117.04,Veggie Thunbergers,2019
12,TAEkin it 2 da HOUSE,Loss,81.92 - 83.56,81.92,Veggie Thunbergers,2019
13,Thunder Horse,Win,86.02 - 81.64,86.02,Veggie Thunbergers,2019
1,Thunder Horse,Loss,103.72 - 107.20,103.72,Hagar Billies,2019
